,"(Also Known As..., Alias)","(Audio, Audio brand)","(Audio, Speakers)","(Audio, Subwoofer)","(Audio, Surround sound)","(Basic Specs, 3D enabled)","(Basic Specs, Base discrete GPU brand)","(Basic Specs, CPU brand)","(Basic Specs, CPU family)","(Basic Specs, Carrier options)","(Basic Specs, Graphics type)","(Basic Specs, Integrated GPU model)","(Basic Specs, Laptop type)","(Basic Specs, Operating system)","(Basic Specs, Optical drive type)","(Basic Specs, Screen size (diagonal))","(Basic Specs, The Verge Battery Test)","(Basic Specs, Thickness)","(Basic Specs, Touch technology)","(Basic Specs, Weight)","(Battery, Chemistry)","(Battery, Quoted time)","(Battery, Removable)","(Battery, Size)","(Benchmarks, 3DMark06 (GPU))","(Benchmarks, 3DMark06 (IGP))","(Benchmarks, 3DMark11 (GPU))","(Benchmarks, 3DMark11 (IGP))","(Benchmarks, 3DMarkVantage (GPU))","(Benchmarks, 3DMarkVantage (IGP))","(Benchmarks, GeekBench)","(Benchmarks, HAWX)","(Benchmarks, Just Cause 2)","(Benchmarks, PCMarkVantage)","(Benchmarks, The Verge Battery Test)","(Benchmarks, The Verge Battery Test (extended battery))","(Benchmarks, XBench)","(Bundled Accessories, Bundled Accessories)","(Connectivity, 3G)","(Connectivity, 4G)","(Connectivity, 802.11n frequencies)","(Connectivity, Bluetooth)","(Connectivity, Bluetooth version)","(Connectivity, CDMA)","(Connectivity, Carrier options)","(Connectivity, GPS)","(Connectivity, GSM)","(Connectivity, LTE)","(Connectivity, NFC)","(Connectivity, Other carrier options)","(Connectivity, WWAN data standards supported)","(Connectivity, Wi-Fi)","(Connectivity, Wi-Fi options)","(Connectivity, WiMAX)","(Connectivity, Wireless video)","(Display (base), 3D enabled)","(Display (base), Backlight)","(Display (base), Display surface)","(Display (base), Multitouch)","(Display (base), PPI)","(Display (base), Resolution (X))","(Display (base), Resolution (Y))","(Display (base), Screen size (diagonal))","(Display (base), Technology)","(Display (base), Touch technology)","(Display (max), 3D enabled)","(Display (max), Backlit)","(Display (max), Multitouch)","(Display (max), PPI)","(Display (max), Resolution (X))","(Display (max), Resolution (Y))","(Display (max), Size (diagonal))","(Display (max), Technology)","(Display (max), Touch technology)","(GPU (base), Base discrete GPU brand)","(GPU (base), Dedicated VRAM size)","(GPU (base), Discrete GPU model)","(GPU (base), Graphics type)","(GPU (base), Integrated GPU brand)","(GPU (base), Integrated GPU model)","(GPU (base), SLI / Crossfire)","(GPU (max), Dedicated VRAM size)","(GPU (max), Discrete GPU brand)","(GPU (max), Discrete GPU model)","(GPU (max), Integrated GPU brand)","(GPU (max), Integrated GPU model)","(GPU (max), SLI / Crossfire)","(Hardware, Color)","(Hardware, Depth)","(Hardware, Laptop type)","(Hardware, Thickness)","(Hardware, Weight)","(Hardware, Width)","(Keyboard, Backlit)","(Keyboard, Number pad)","(Keyboard, Type)","(Memory, Base RAM size)","(Memory, Base RAM speed)","(Memory, Max. config RAM size)","(Memory, RAM slots)","(Memory, RAM type)","(Mouse, Multitouch)","(Mouse, Multitouch points)","(Mouse, Type(s))","(Optical Drive, Compatible media)","(Optical Drive, Optical drive type)","(Port options, 3.5mm digital optical audio (S/PDIF))","(Port options, 3.5mm headphone)","(Port options, 3.5mm line-in / microphone)","(Port options, 3.5mm mic / headphone combo)","(Port options, Card slot(s))","(Port options, Combo eSATA / USB)","(Port options, DVI)","(Port options, Digital optical audio (S/PDIF))","(Port options, DisplayPort)","(Port options, DisplayPort++)","(Port options, Docking connector)","(Port options, Ethernet)","(Port options, Ethernet type)","(Port options, FireWire 400)","(Port options, FireWire 800)","(Port options, HDMI)","(Port options, HDMI input(s))","(Port options, Micro DVI)","(Port options, Micro HDMI)","(Port options, Mini DVI)","(Port options, Mini DisplayPort)","(Port options, Mini HDMI)","(Port options, Mini VGA)","(Port options, Other)","(Port options, Proprietary (data))","(Port options, Thunderbolt)","(Port options, USB)","(Port options, USB 3.0)","(Port options, VGA)","(Port options, eSATA)","(Processor (base), CPU brand)","(Processor (base), CPU family)","(Processor (base), Clockspeed)","(Processor (base), Cores)","(Processor (base), Model)","(Processor (base), Turbo clockspeed)","(Processor (max), Brand)","(Processor (max), Clockspeed)","(Processor (max), Cores)","(Processor (max), Family)","(Processor (max), Model)","(Processor (max), Turbo clockspeed)","(Reference, Brand)","(Reference, Name)","(Reference, url)","(Security, Trusted platform module)","(Sensors, Accelerometer)","(Sensors, Ambient light)","(Sensors, Biometric scanner)","(Sensors, Proximity )","(Software, Notable apps)","(Software, Operating system)","(Storage, Base drive capacity)","(Storage, Base drive type)","(Storage, Card reader)","(Storage, Card reader support)","(Storage, Max. config HDD)","(Storage, Max. config Hybrid)","(Storage, Max. config SSD)","(Storage, Options)","(Webcam, Effective pixels)","(Webcam, Video framerate)","(Webcam, Video resolution)"
EliteBook 8460w,,SRS Premium Sound,2,,,,AMD,Intel,Sandy Bridge,"Verizon Wireless, Sprint, AT&T",Discrete,HD Graphics 3000,"Mainstream, Rugged","Windows 7, Windows Vista, Other",Tray-loading,14 inches,,1.25 inches,,4.9 pounds,Lithium Ion (Li-Ion),,Yes,62 Wh,,,,,,,,,,,,,,,Optional,,,Optional,2.1 + EDR,Optional,"Verizon Wireless, Sprint, AT&T",Optional,Optional,,,,"UMTS, 1xRTT, EV-DO Rev. A, EDGE, HSPA+, HSUPA, HSDPA, GPRS",Optional,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1366 px,768 px,14 inches,LCD,,,,,,1600 px,900 px,,,,AMD,1 GB,FirePro M3900,Discrete,Intel,HD Graphics 3000,,,,,,,,Gray,9.11 inches,"Mainstream, Rugged",1.25 inches,4.9 pounds,13.31 inches,,No,Chiclet,4 GB,1333 MHz,8 GB,2,DDR3,Yes,,"Trackpad, Pointing stick","DVD-ROM, DVD Super Multi, Blu-ray burner",Tray-loading,,1,1,,"ExpressCard/34, ExpressCard/54, Smart Card",1,,,1,,,1,10/100/1000 (Gigabit),1,,,,,,,,,,,,,1,2,1,,Intel,Sandy Bridge,2.5 GHz,2,Core i5-2520M,3.2 GHz,Intel,2.3 GHz,4,Sandy Bridge,Core i7-2820QM,3.4 GHz,HP,EliteBook 8460w,http://www.theverge.com/products/elitebook-8460w/584,,Yes,Yes,Yes,,,"Windows 7, Windows Vista, Other",500 GB,HDD (7200RPM),Yes,"SD, MMC",1.25 TB,,256 GB,"HDD (7200RPM), Flash Memory (SSD)",,,720p
VAIO EJ (Late 2011),"VPC-EJ2, VPCEJ2, VPCEJ290X ",,2,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,17.3 inches,,1.5 inches,,6.85 pounds,Lithium Ion (Li-Ion),200 min,Yes,4000 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1600 px,900 px,17.3 inches,,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 3000,,1 GB,Nvidia,GeForce 410M,,,,"White, Black",10.79 inches,Mainstream,1.5 inches,6.85 pounds,16.11 inches,No,Yes,Chiclet,4 GB,1333 MHz,8 GB,2,DDR3,Yes,,Trackpad,"DVD/CD-RW combo, BD Combo",Tray-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,4,,1,,Intel,Sandy Bridge,2.1 GHz,2,Pentium B950,,Intel,2.4 GHz,2,Sandy Bridge,Core i5-2430M,3 GHz,Sony,VAIO EJ (Late 2011),http://www.theverge.com/products/vaio-ej-late-2011/2898,,,,,,,Windows 7,320 GB,HDD (5400RPM),Yes,"SD, Memory Stick Duo",750 GB,,,HDD (5400RPM),,,
VAIO EJ (Mid 2011),"VPCEJ1, VPC-EJ1",,2,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,17.3 inches,,1.5 inches,,6.85 pounds,Lithium Ion (Li-Ion),5 hr,Yes,4000 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1600 px,900 px,17.3 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 3000,,,,,,,,"Black, Blue, Pink, White",10.79 inches,Mainstream,1.5 inches,6.85 pounds,16.11 inches,No,Yes,Chiclet,4 GB,1333 MHz,,2,DDR3,Yes,,Trackpad,"DVD/CD-RW combo, BD Combo",Tray-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,4,,1,,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2310M,,,,,,,,Sony,VAIO EJ (Mid 2011),http://www.theverge.com/products/vaio-ej-mid-2011/583,,,,,,,Windows 7,500 GB,HDD (5400RPM),Yes,"SD, Memory Stick Duo",640 GB,,,HDD (5400RPM),,,
VAIO EH (Mid 2011),"VPC-EH1, VPCEH1",,2,,,,,Intel,Sandy Bridge,,Optional,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,15.5 inches,,1.45 inches,,5.97 pounds,Lithium Ion (Li-Ion),4.5 hr,Yes,4000 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1366 px,768 px,15.5 inches,LCD,,,,,,,,,,,,,,Optional,Intel,HD Graphics 3000,,1 GB,Nvidia,GeForce 410M,,,,"Blue, Pink, White, Black",9.78 inches,Mainstream,1.45 inches,5.97 pounds,14.56 inches,No,Yes,Chiclet,4 GB,1333 MHz,8 GB,2,DDR3,Yes,,Trackpad,DVD/CD-RW combo,Tray-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,4,,1,,Intel,Sandy Bridge,2 GHz,2,Pentium B940,,Intel,2.3 GHz,2,Sandy Bridge,Core i5-2410M,2.9 GHz,Sony,VAIO EH (Mid 2011),http://www.theverge.com/products/vaio-eh-mid-2011/582,,,,,,,Windows 7,500 GB,HDD (5400RPM),Yes,"SD, Memory Stick Duo",,,,HDD (5400RPM),,,
VAIO EH (Late 2011),"VPC-EH2, VPCEH2, VPCEH290X",,2,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,15.5 inches,,1.45 inches,,5.97 pounds,Lithium Ion (Li-Ion),4.25 hr,Yes,4000 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1366 px,768 px,15.5 inches,,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 3000,,1 GB,Nvidia,GeForce 410M,,,,"Black, Blue, Pink, White",9.78 inches,Mainstream,1.45 inches,5.97 pounds,14.56 inches,No,Yes,Chiclet,4 GB,1333 MHz,8 GB,2,DDR3,Yes,,Trackpad,"DVD/CD-RW combo, BD Combo",Tray-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,4,,1,,Intel,Sandy Bridge,2.1 GHz,2,Pentium B950,,Intel,2.4 GHz,2,Sandy Bridge,Core i5-2430M,3 GHz,Sony,VAIO EH (Late 2011),http://www.theverge.com/products/vaio-eh-late-2011/2873,,,,,,,Windows 7,320 GB,HDD (5400RPM),Yes,"SD, Memory Stick Duo",750 GB,,,HDD (5400RPM),,,
IdeaPad U460,,,2,,,,,Intel,Arrandale,,Switchable,,Mainstream,Windows 7,,14 inches,,0.98 inches,,4.3 pounds,Lithium Ion (Li-Ion),6 hr,,8 cell,,,,,,,,,,,,,,,,,2.4GHz,Yes,2.1 + EDR,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Glossy,,,1366 px,768 px,14 inches,LCD,,,,,,,,,,,,,,Switchable,Intel,,,512 MB,Nvidia,GeForce 305M,,,,"Black / Gray / Silver, Purple / Silver / Black",9.25 inches,Mainstream,0.98 inches,4.3 pounds,13.31 inches,,No,Chiclet,4 GB,1066 MHz,8 GB,2,DDR3,,,Trackpad,,,,1,1,,,1,,,,,,1,,,,1,,,,,,,,,,,3,,1,,Intel,Arrandale,2.53 GHz,2,Core i3-380M,,Intel,2.66 GHz,2,Arrandale,Core i5-560M,3.2 GHz,Lenovo,IdeaPad U460,http://www.theverge.com/products/ideapad-u460/581,,,,Yes,,,Windows 7,500 GB,HDD (5400RPM),Yes,"SD, Memory Stick, xD, MMC",500 GB,,,"HDD (5400RPM), HDD (7200RPM)",1.3 megapixels,,
EliteBook 8560p,,SRS Premium Sound,2,,,,AMD,Intel,Sandy Bridge,"Verizon Wireless, Sprint, AT&T",Discrete,HD Graphics 3000,"Mainstream, Rugged","Windows 7, Windows Vista, Other",Tray-loading,15.6 inches,,1.34 inches,,6.01 pounds,Lithium Ion (Li-Ion),8.25 hr,Yes,62 Wh,,,,,,,,,,,,,,,Optional,,,Yes,2.1 + EDR,Optional,"Verizon Wireless, Sprint, AT&T",Optional,Optional,,,,"UMTS, 1xRTT, EV-DO Rev. A, EDGE, HSPA+, HSUPA, HSDPA, GPRS",Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1366 px,768 px,15.6 inches,LCD,,,,,,1600 px,900 px,,,,AMD,1 GB,Radeon HD 6470M,Discrete,Intel,HD Graphics 3000,,1 GB,AMD,Radeon HD 6470M,,,,Silver,9.86 inches,"Mainstream, Rugged",1.34 inches,6.01 pounds,14.72 inches,,No,Chiclet,4 GB,1333 MHz,8 GB,2,DDR3,Yes,,"Trackpad, Pointing stick","DVD-ROM, DVD Super Multi, Blu-ray burner",Tray-loading,,1,1,,"ExpressCard/34, ExpressCard/54, Smart Card",1,,,1,,Yes,1,10/100/1000 (Gigabit),1,,,,,,,,,,,,,1,2,1,,Intel,Sandy Bridge,2.3 GHz,2,Core i5-2410M,2.9 GHz,Intel,2.3 GHz,4,Sandy Bridge,Core i7-2820QM,3.4 GHz,HP,EliteBook 8560p,http://www.theverge.com/products/elitebook-8560p/580,Yes,Yes,,Optional,,,"Windows 7, Windows Vista, Other",250 GB,HDD (7200RPM),Yes,"SD, MMC",1.25 TB,,256 GB,"HDD (7200RPM), Flash Memory (SSD)",,,720p
VAIO EG (Late 2011),"VPCEG290X, VPCEG24FX/B, VPCEG2, VPC-EG2",,2,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,14 inches,,1.36 inches,,5.08 pounds,Lithium Ion (Li-Ion),5.75 hr,Yes,5300 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1366 px,768 px,14 inches,,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 3000,,1 GB,Nvidia,GeForce 410M,,,,"Pink, White, Blue, Black",9.4 inches,Mainstream,1.36 inches,5.08 pounds,13.62 inches,No,No,Chiclet,4 GB,1333 MHz,8 GB,,DDR3,Yes,,Trackpad,"DVD/CD-RW combo, BD Combo",Tray-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,4,,1,,Intel,Sandy Bridge,2.1 GHz,2,Pentium B950,,Intel,2.4 GHz,2,Sandy Bridge,Core i5-2430M,3 GHz,Sony,VAIO EG (Late 2011),http://www.theverge.com/products/vaio-eg-late-2011/2869,,,,,,,Windows 7,320 GB,HDD (5400RPM),Yes,"SD, Memory Stick Duo",640 GB,,,HDD (5400RPM),,,
VAIO EG (Mid 2011),"VPCEG1, VPC-EG1",,2,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,14 inches,,1.36 inches,,5.08 pounds,Lithium Ion (Li-Ion),4.5 hr,Yes,5300 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1366 px,768 px,14 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 3000,,,,,,,,"Black, Pink, Blue, White ",9.4 inches,Mainstream,1.36 inches,5.08 pounds,13.62 inches,No,No,Chiclet,4 GB,1333 MHz,,2,DDR3,Yes,,Trackpad,BD-ROM,Tray-loading,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,4,,1,,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2310M,,,,,,,,Sony,VAIO EG (Mid 2011),http://www.theverge.com/products/vaio-eg-mid-2011/579,,,,,,,Windows 7,640 GB,HDD (5400RPM),Yes,"SD, Memory Stick Duo",,,,,,,
Latitude E6220,E6220,,2,,,,,Intel,Sandy Bridge,,Switchable,HD Graphics 3000,Ultraportable,Windows 7,,12.5 inches,,0.97 inches,,3.15 pounds,Lithium Ion (Li-Ion),,Yes,30 Wh,,,,,,,,,,,,,,,Yes,,,Yes,3.0,Yes,,Optional,Yes,,,,"WiMAX, EV-DO Rev. A, EV-DO Rev. 0, EDGE, GPRS",Yes,"802.11n, 802.11g, 802.11b",Yes,,,LED,Matte,,,1366 px,768 px,12.5 inches,LCD,,,,,,,,,,,,,,Switchable,Intel,HD Graphics 3000,,,,,,,,Black / Silver,8.9 inches,Ultraportable,0.97 inches,3.15 pounds,12.17 inches,Optional,Yes,Standard,8 GB,1333 MHz,,,DDR3,Yes,,Trackpad,,,,,,1,"ExpressCard/34, ExpressCard/54, Smart Card",1,,,,,Yes,,,,,1,,,,,,,,,,,3,,1,,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2310M,,Intel,2.7 GHz,4,Sandy Bridge,Core i7-2620M,3.4 GHz,Dell,Latitude E6220,http://www.theverge.com/products/latitude-e6220/578,Yes,,,Optional,,,Windows 7,250 GB,HDD (5400RPM),,,320 GB,,256 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD)",,,
Vostro 1015,,,1,,,,,Intel,,,Integrated,GMA 4500MHD,Budget,Windows 7,Tray-loading,15.6 inches,,1.5 inches,,4.8 pounds,Lithium Ion (Li-Ion),,Yes,6 cell,,,,,,,,,,,,,,,,,,Optional,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,WLED,Matte,,,1366 px,768 px,15.6 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,GMA 4500MHD,,,,,,,,"Red, Black",9.8 inches,Budget,1.5 inches,4.8 pounds,14.8 inches,No,No,Standard,2 GB,800 MHz,4 GB,,DDR3,,,Trackpad,DVD±R/RW,Tray-loading,,1,1,1,ExpressCard/34,,,,,,,1,,,,,,,,,,,,,,,4,,1,,Intel,,2.2 GHz,2,Celeron 900,,Intel,2.2 GHz,2,Penryn,Core 2 Duo,,Dell,Vostro 1015,http://www.theverge.com/products/vostro-1015/577,,,,,,,Windows 7,250 GB,HDD (5400RPM),Yes,,320 GB,,,HDD (5400RPM),1.3 megapixels,,
EliteBook 8460p,,SRS Premium Sound,2,,,,AMD,Intel,Sandy Bridge,"Verizon Wireless, Sprint, AT&T",Discrete,HD Graphics 3000,"Mainstream, Rugged","Windows 7, Windows Vista, Other",Tray-loading,14 inches,,1.25 inches,,4.56 pounds,Lithium Ion (Li-Ion),8.25 hr,Yes,6 cell,,,,,,,,,,,,,,,Optional,,,Yes,2.1 + EDR,Optional,"Verizon Wireless, Sprint, AT&T",Optional,Optional,,,,"UMTS, 1xRTT, EV-DO Rev. A, EDGE, HSPA+, HSUPA, HSDPA, GPRS",Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1366 px,768 px,14 inches,LCD,,,,,,1600 px,900 px,,,,AMD,,Radeon HD 6470M,Discrete,Intel,HD Graphics 3000,,1 GB,,,,,,Silver,9.11 inches,"Mainstream, Rugged",1.25 inches,4.56 pounds,13.31 inches,,No,Chiclet,4 GB,1333 MHz,,2,DDR3,Yes,,"Trackpad, Pointing stick","DVD-ROM, DVD±R/RW, DVD Super Multi, BD Combo, Blu-ray burner",Tray-loading,,1,1,,"ExpressCard/34, ExpressCard/54, Smart Card",1,,,1,,Yes,1,10/100/1000 (Gigabit),1,,,,,,,,,,,,,1,2,1,,Intel,Sandy Bridge,2.3 GHz,2,Core i5-2410M,2.9 GHz,Intel,2.7 GHz,2,Sandy Bridge,Core i7-2620M,3.4 GHz,HP,EliteBook 8460p,http://www.theverge.com/products/elitebook-8460p/575,Yes,Yes,,Optional,,,"Windows 7, Windows Vista, Other",320 GB,HDD (7200RPM),Yes,"SD, MMC",500 GB,,128 GB,"HDD (7200RPM), Flash Memory (SSD)",,,720p
VAIO CB (Mid 2011),"VPC-CB2, VPCCB2AFX/W, VPCCB2, VPCCB290X ",,2,,Yes,,,Intel,Sandy Bridge,,Optional,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,15.5 inches,,1.56 inches,,6.3 pounds,Lithium Ion (Li-Ion),5.5 hr,Yes,5300 mAh,,,,,,,,,,,,,,,,,,Yes,2.1 + EDR,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1366 px,768 px,15.5 inches,,,,,,,1920 px,1080 px,,,,,,,Optional,Intel,HD Graphics 3000,,1 GB,AMD,Radeon HD 6630M,,,,"Black, Green, Pink / Black, White, Blue / Black",9.88 inches,Mainstream,1.56 inches,6.3 pounds,14.77 inches,Yes,Yes,Chiclet,4 GB,1333 MHz,8 MB,2,DDR3,Yes,,Trackpad,"DVD/CD-RW combo, BD Combo, Blu-ray burner",Tray-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,1,1,,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2310M,,Intel,2.7 GHz,2,Sandy Brdige,Core i7-2620M,3.4 GHz,Sony,VAIO CB (Mid 2011),http://www.theverge.com/products/vaio-cb-mid-2011/574,,,,,,,Windows 7,320 GB,HDD (5400RPM),Yes,"SD, Memory Stick Duo",750 GB,,,,,,
VAIO CB (Late 2011),"VPC-CB3, VPCCB390X, VPCCB3, VPCCB3AFX/R",,2,,Yes,,,Intel,Sandy Bridge,,Optional,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,15.5 inches,,1.56 inches,,6.3 pounds,Lithium Ion (Li-Ion),260 min,Yes,5300 mAh,,,,,,,,,,,,,,,,,,Yes,2.1 + EDR,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1366 px,768 px,15.5 inches,,,,,,,1920 px,1080 px,,,,,,,Optional,Intel,HD Graphics 3000,,1 GB,AMD,Radeon HD 6630M,,,,"Black, Pink / Black, White, Blue / Black",9.88 inches,Mainstream,1.56 inches,6.3 pounds,14.77 inches,Yes,Yes,Chiclet,4 GB,1333 MHz,8 MB,2,DDR3,Yes,,Trackpad,"DVD/CD-RW combo, BD Combo, Blu-ray burner",Tray-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,1,1,,Intel,Sandy Bridge,2.2 GHz,2,Core i3-2330M,,Intel,2.8 GHz,2,Sandy Brdige,Core i7-2640M,3.5 GHz,Sony,VAIO CB (Late 2011),http://www.theverge.com/products/vaio-cb-late-2011/2727,,,,,,,Windows 7,320 GB,HDD (5400RPM),Yes,"SD, Memory Stick Duo",750 GB,,,"HDD (5400RPM), HDD (7200RPM)",,,
Latitude E5420,"E5420, E5420m",,2,,,,,Intel,Penryn,,Integrated,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,14 inches,,1.28 inches,,4.5 pounds,Lithium Ion (Li-Ion),,Yes,40 Wh,,,,,,,,,,,,,,,Optional,,"5GHz, 2.4GHz",Optional,3.0,Optional,,Optional,Optional,,,,"WiMAX, EV-DO Rev. A, EV-DO Rev. 0, EDGE, GPRS",Yes,"802.11n, 802.11g, 802.11b, 802.11a",Optional,,,LED,Matte,,,1366 px,768 px,14 inches,LCD,,,,,,1600 px,900 px,,,,,,,Integrated,Intel,HD Graphics 3000,,,,,,,,Black / Silver,9.45 inches,Mainstream,1.28 inches,4.5 pounds,13.78 inches,Optional,Yes,Standard,2 GB,1333 MHz,8 GB,,DDR3,Yes,,Trackpad,"DVD-ROM, DVD±R/RW",Tray-loading,,,,1,"ExpressCard/34, ExpressCard/54, Smart Card",1,,,,,Yes,1,10/100/1000 (Gigabit),1,,1,,,,,,,,,,,3,,1,,Intel,Penryn,2.3 GHz,1,Celeron 925,,Intel,2.7 GHz,2,Sandy Bridge,Core i7-2620M,3.4 GHz,Dell,Latitude E5420,http://www.theverge.com/products/latitude-e5420/573,,,,,,,Windows 7,250 GB,HDD (5400RPM),Yes,,500 GB,,128 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD)",,,
Latitude E5520,"E5520, E5520m",,2,,,,,Intel,Penryn,,Integrated,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,15.6 inches,,1.31 inches,,5.14 pounds,Lithium Ion (Li-Ion),,Yes,40 Wh,,,,,,,,,,,,,,,Optional,,,Optional,3.0,Optional,,Optional,Optional,,,,"WiMAX, EV-DO Rev. A, EV-DO Rev. 0, EDGE, GPRS",Yes,"802.11n, 802.11g, 802.11b",Optional,,,LED,Matte,,,1366 px,768 px,15.6 inches,LCD,,,,,,1920 px,1080 px,,,,,,,Integrated,Intel,HD Graphics 3000,,,,,,,,Black / Silver,9.88 inches,Mainstream,1.31 inches,5.14 pounds,15.28 inches,Optional,Yes,Standard,2 GB,1333 MHz,8 GB,,DDR3,Yes,,Trackpad,"DVD-ROM, DVD±R/RW",Tray-loading,,1,1,,"ExpressCard/34, ExpressCard/54, Smart Card",1,,,,,Yes,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,4,,1,,Intel,Penryn,2.3 GHz,1,Celeron 925,,Intel,2.7 GHz,2,Sandy Bridge,Core i7-2620M,3.4 GHz,Dell,Latitude E5520,http://www.theverge.com/products/latitude-e5520/572,,,,,,,Windows 7,250 GB,HDD (5400RPM),Yes,,500 GB,,128 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD)",,,
Vostro 1014,,,1,,,,,Intel,Penryn,,Integrated,GMA 4500MHD,Budget,Windows 7,Tray-loading,14 inches,,1.4 inches,,4.8 pounds,,,Yes,"4 cell, 6 cell",,,,,,,,,,,,,,,,,,Optional,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,WLED,,,,1366 px,768 px,14 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,GMA 4500MHD,,,,,,,,Black,9.6 inches,Budget,1.4 inches,4.8 pounds,13.4 inches,No,No,Standard,2 GB,800 MHz,3 GB,,DDR3,,,Trackpad,DVD±R/RW,Tray-loading,,1,1,1,ExpressCard/34,,,,,,,1,,,,,,,,,,,,,,,4,,1,,Intel,Penryn,2.2 GHz,2,Core 2 Duo T6670,,,,,,,,Dell,Vostro 1014,http://www.theverge.com/products/vostro-1014/571,,,,,,,Windows 7,250 GB,HDD (5400RPM),Yes,,,,,HDD (5400RPM),1.3 megapixels,,
